iter	RMSE
0	0.2386217504
1	0.2356888908
2	0.233289936
3	0.231203968
4	0.2293994722
5	0.2279538364
6	0.2267380701
7	0.2257061244
8	0.2247673689
9	0.2240058297
10	0.2233242145
11	0.2227726404
12	0.2223151279
13	0.2219081634
14	0.2215754311
15	0.2212768068
16	0.2210059979
17	0.2207428962
18	0.2205195328
19	0.2203176571
20	0.2201367134
21	0.2199672847
22	0.219838346
23	0.2196882589
24	0.2195150243
25	0.2193843422
26	0.2192737554
27	0.2191426446
28	0.2190465271
29	0.2189167974
30	0.2188079901
31	0.2187308092
32	0.2186320857
33	0.2185495669
34	0.2184681047
35	0.2183909443
36	0.2183061405
37	0.2182267294
38	0.21818151
39	0.2181092216
40	0.2180243487
41	0.2179576232
42	0.2178704095
43	0.2178036286
44	0.217740946
45	0.2176895705
46	0.2176073077
47	0.2175688437
48	0.217529107
49	0.2175036775
50	0.2174650965
51	0.2173998355
52	0.2173371624
53	0.2172837195
54	0.2172579017
55	0.2172232419
56	0.217154054
57	0.2171303143
58	0.2170814571
59	0.2170663036
60	0.2170330325
61	0.2169738644
62	0.2168903786
63	0.2168483758
64	0.2167804598
65	0.2167432592
66	0.2167219399
67	0.2166919403
68	0.2166471473
69	0.2165655864
70	0.2165310787
71	0.2165037763
72	0.2164622021
73	0.2164338461
74	0.2164016341
75	0.2163338985
76	0.2162685075
77	0.2162179583
78	0.2161913497
79	0.2161610051
80	0.2161127863
81	0.2160764355
82	0.2160321613
83	0.2159793518
84	0.2159369878
85	0.2158997051
86	0.2158600383
87	0.2158311031
88	0.2157990327
89	0.2156993841
90	0.2156803949
91	0.2156474671
92	0.2156366649
93	0.2156146022
94	0.2155951826
95	0.2155695099
96	0.2155368222
97	0.2154759552
98	0.2154475566
99	0.215422104
100	0.215372047
101	0.2153251168
102	0.2153019921
103	0.2152913242
104	0.2152587893
105	0.2152245612
106	0.215182457
107	0.2151247944
108	0.2150674998
109	0.2150464327
110	0.2150356993
111	0.2149967423
112	0.2149645745
113	0.2149302717
114	0.2149040749
115	0.2148566699
116	0.2148249932
117	0.214777287
118	0.2147387338
119	0.2147114208
120	0.2146658388
121	0.2146405718
122	0.2145713084
123	0.2144996605
124	0.2144339322
125	0.2144127496
126	0.2143867998
127	0.2143404669
128	0.2143158521
129	0.2142644022
130	0.2142167083
131	0.2141643918
132	0.2141344521
133	0.2140818879
134	0.2140514806
135	0.2140254923
136	0.2139756508
137	0.2139217214
138	0.2138900043
139	0.2138597086
140	0.2138421724
141	0.2138214154
142	0.2137377111
143	0.2137252494
144	0.2137055655
145	0.21370309
146	0.2136880356
147	0.2136604029
148	0.213598997
149	0.2135694841
150	0.2134976407
151	0.2134751936
152	0.2134232762
153	0.2133994578
154	0.2133558549
155	0.2133205067
156	0.2132777962
157	0.213266656
158	0.2132659264
159	0.2132308504
160	0.2132088236
161	0.2131766026
162	0.213134657
163	0.2130836788
164	0.21308305
165	0.2130437853
166	0.2130191997
167	0.2129630628
168	0.2129089667
169	0.2128421588
170	0.2128073955
171	0.2127971486
172	0.212777699
173	0.2127226954
174	0.2126766121
175	0.2126422645
176	0.2126039412
177	0.2125663437
178	0.2125658343
179	0.2125653497
180	0.2124943491
181	0.2124454881
182	0.2124046702
183	0.2123764819
184	0.2123458812
185	0.2123067345
186	0.2122901812
187	0.2122622228
188	0.212251882
189	0.2122514756
190	0.2122079019
191	0.2121616893
192	0.2121370461
193	0.2121180903
194	0.2120683994
195	0.2120088199
196	0.211976337
197	0.2119313698
198	0.2118834988
199	0.2118241603
200	0.2117968394
201	0.2117672635
202	0.2117098177
203	0.2116786531
204	0.2116304128
205	0.2115985511
206	0.2115748715
207	0.2115348243
208	0.2114893856
209	0.2114488113
210	0.2114152649
211	0.2113764497
212	0.2113199921
213	0.2112809069
214	0.2112627031
215	0.2112180234
216	0.2111612247
217	0.2111163336
218	0.211088115
219	0.2110877745
220	0.2110874505
221	0.2110308958
222	0.2110222147
223	0.2109907838
224	0.2109583799
225	0.2109259988
226	0.2108781837
227	0.2108691246
228	0.2108296819
229	0.210809249
230	0.2107698596
231	0.2107356999
232	0.2107162831
233	0.2106852965
234	0.2106470211
235	0.2106093571
236	0.2105731734
237	0.2104960732
238	0.210483658
239	0.2104759762
240	0.2104198474
241	0.2103811482
242	0.2103412005
243	0.2102977292
244	0.210249156
245	0.2102259289
246	0.2101902151
247	0.2101343153
248	0.2101088686
249	0.2100846057
250	0.2100415396
251	0.2100190438
252	0.2099850344
253	0.2099383557
254	0.2099020064
255	0.2098604213
256	0.2098255063
257	0.2098031702
258	0.2097918957
259	0.2097547496
260	0.2097203211
261	0.209697205
262	0.2096526937
263	0.2096521393
264	0.2096052664
265	0.2096050101
266	0.2095752122
267	0.2095367682
268	0.2095015787
269	0.2094710055
270	0.2094221747
271	0.2093695429
272	0.2093437907
273	0.2093177943
274	0.2092705308
275	0.2092601843
276	0.2092360841
277	0.2092072446
278	0.2091708451
279	0.2091381403
280	0.2091169837
281	0.2090690582
282	0.2090182827
283	0.2089562735
284	0.2089229132
285	0.2089047228
286	0.2088645463
287	0.2088283783
288	0.2087845034
289	0.2087555422
290	0.2087147926
291	0.2086681101
292	0.2086330452
293	0.2086277883
294	0.2086068819
295	0.2085682297
296	0.2085310015
297	0.2085063679
298	0.2084793308
299	0.2084674963
300	0.2084445489
301	0.2084019602
302	0.2083617554
303	0.2083456203
304	0.2082965449
305	0.20828395
306	0.2082286087
307	0.2081908541
308	0.2081605908
309	0.2081326622
310	0.2080929919
311	0.2080792212
312	0.2080517772
313	0.2080288527
314	0.20801033
315	0.2079926614
316	0.2079624848
317	0.2079235089
318	0.2078758214
319	0.2078634258
320	0.207840981
321	0.2078128793
322	0.2077528413
323	0.2077188314
324	0.2076940262
325	0.2076578733
326	0.2076316404
327	0.2075876804
328	0.2075744476
329	0.2075348153
330	0.2075114974
331	0.207501051
332	0.20748102
333	0.2074521357
334	0.2074175357
335	0.2074026979
336	0.2073533004
337	0.2073021279
338	0.2072670198
339	0.2072367156
340	0.207203399
341	0.2071693917
342	0.207156247
343	0.2071403944
344	0.2071148722
345	0.2070711958
346	0.2070185508
347	0.2069870026
348	0.2069501796
349	0.2069082812
350	0.2068708432
351	0.206849625
352	0.2068366071
353	0.206794649
354	0.2067880912
355	0.2067493162
356	0.2067083843
357	0.2066688651
358	0.2066304707
359	0.206598625
